lattitude,longitude,Cafes,Restaurants,Gyms,Cluster
17.436865,78.398272,10,10,10,1
17.488731,78.389332,10,10,10,3
17.433985,78.386728,10,10,10,1
17.500088,78.384796,10,10,8,3
17.487947,78.386476,10,10,10,3
17.514425,78.394925,5,10,4,3
17.477354,78.379075,4,10,4,1
17.512625,78.383551,7,10,6,3
17.515488,78.381647,6,10,7,3
17.515921,78.381681,6,10,7,3
17.472501,78.372255,10,10,3,1
17.517831,78.378464,4,10,6,3
17.508766,78.366947,1,4,1,3
17.52177,78.397134,5,7,4,3
17.506195,78.362133,1,10,0,3
17.487403,78.359183,10,10,2,0
17.485455,78.357775,5,8,2,0
17.4703,78.366293,10,10,10,1
17.484713,78.357383,5,7,2,0
17.52724,78.387426,0,2,2,3
17.500395,78.354353,10,10,3,0
17.462398,78.369402,10,10,10,1
17.528754,78.370387,1,1,1,3
17.491132,78.346304,10,10,7,0
17.455314,78.369764,10,10,10,1
17.523676,78.425725,5,2,1,2
17.464839,78.348244,10,10,7,0
17.490205,78.341549,10,10,8,0
17.466419,78.3508,8,10,9,0
17.464879,78.34685,8,10,7,0
17.496476,78.341774,10,10,7,0
17.465321,78.344899,6,10,7,0
17.533439,78.35917,3,1,1,3
17.491818,78.338679,10,10,6,0
17.491232,78.338555,10,9,6,0
17.49201,78.338545,10,10,6,0
17.529982,78.429059,3,0,0,2
17.491243,78.337914,10,10,6,0
17.520606,78.443144,8,5,1,2
17.492802,78.336903,10,10,5,0
17.49193,78.336483,10,9,5,0
17.492145,78.336412,10,9,5,0
17.440943,78.385171,10,10,10,1
17.505515,78.335987,1,3,1,0
17.504539,78.335779,2,5,1,0
17.442436,78.367723,10,10,10,1
17.442141,78.3669,10,10,8,1
17.492722,78.33116,10,10,8,0
17.470967,78.335351,1,5,1,0
17.464754,78.338469,3,4,4,0
